ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,Me,hide,hide,hide,hide,早晨，我系你老窦,病房2,平静小曲,,,
1001,Me,,,,,这互联网世界太精彩了！,,,,,
1002,Me,,,,,咕咕嘎嘎,,,,,
1003,护士,,,护士_normal,,早上好先生,病房,,,,
1004,Me,,,,,早上好，护士小姐,,,,,
1005,小妍,,,小妍_smile,护士_normal,快点起来，去公园~,,,,,
1006,Me,,,,,呃啊啊啊，连懒觉也不让人睡吗,,,,,
1007,神,,,神_love,,......,,,,,
1008,Me,,,,,行吧，我精神了......,,,,,
1009,hide,,,,,......,城市公园,日常,,,
1010,Me,,,护士_normal,,原来还是要护送我们到公园的,,,,,
1011,hide,,,,,护士小姐暂时消失在视野里，不过感觉一有情况，她肯定会瞬移出现,,,,,
1012,Me,,,,,哈哈，新鲜的空气最棒了,,,,,
1013,Me,,,,,吸...呼...吸...呼,,,,,
1014,小妍,,,小妍_normal,,......,,,,,
1015,小妍,,,小妍_angry,,吸...呼...吸...呼,,,,,
1016,小妍,,,小妍_smile,,嗯~,,,,,
1017,hide,,,小妍_normal,,她掏出画本，找了一个小角落便自顾自画了起来,,,,,
1018,hide,,,,,而我则是享受坐在轮椅上欣赏风景的惬意时间,,,,,
1019,hide,,,,,我现在很理解那个神要我带她来公园的原因了,,平静小曲,,,
1020,hide,,,小妍_normal,,一直待在一个狭小的地方，再开朗的人也会变得压抑,,,,,
1021,hide,,,,,压抑了就会不愿意吐露内心，甚至封闭内心,,,,,
1022,hide,,,,,还好，小妍并没有压抑到这种程度，这应该也得益于护士小姐的悉心照料,,,,,
1023,hide,,,,,有一个说法叫做“闲不下来就没有时间抑郁了”,,,,,
1024,hide,,,,,当然这句话是不应该被全盘接受的，不过它也有它的道理,,,,,
1025,hide,,,,,一旦到了无事可做的状态，就会不得不感到空虚，不得不去思考人生的意义,,,,,
1026,hide,,,,,这不是一件坏事，人生就是一个知与行的统合轨道,,,,,
1027,hide,,,,,对于小妍、我和其他人理应都是一样的,,,,,
1028,hide,,,小妍_angry,,而她这副端着画本，聚精会神挥舞画笔的样子则是她思考后采取的行动吧,,,,,
1029,hide,,,,,我感到羡慕，浑浑噩噩地工作了一年的我还能像她一样面对生活吗...,,,,,
1030,小妍,,,小妍_normal,,......,,日常,,,
1031,小妍,,,小妍_angry,,戳~戳~,,,,,
1032,小妍,,,小妍_smile,,我画完啦,,,,,
1033,Me,,,,,啊，嗯，那在看看其他地方吧~,,,,,
1034,hide,,,,,......,城市公园2,,,,
1035,小妍,,,小妍_smile,,哇哇！果然还是好漂亮！,,,,,
1036,Me,,,,,我之前第一次来这也觉得很漂亮,,,,,
1037,hide,,,,,如果天使会降临的话，应该就是在这种地方吧,,,,,
1038,hide,,,,,令人愉悦的彩色...,,,,,
1039,hide,,,小妍_smile,,......,,,,,
1040,hide,,,,,天使...,,,,,
1041,hide,,,,,现在她在那里蹦蹦跳跳的，仿佛有隐形的翅膀在挥动,,,,,
1042,hide,,,,,......,,,,,
1043,小妍,,,小妍_worry,,......,,,,,
1044,Me,,,,,嗯？,,,,,
1045,Me,,,,,怎么回事？,,,,,
1046,小妍,,,,,来的时候没有看见库鲁,,,,,
1047,Me,,,,,库鲁？,,,,,
1048,小妍,,,小妍_worry,,小猫...,,,,,
1049,Me,,,,,那我们去找吧,,,,,
1050,小妍,,小妍_worry,,,...,城市公园,,,"charmove(L,0,-442.5,2.0)",
1051,小妍,,,小妍_worry,,......,,,,"charmove(M,600,-442.5,2.0)",
1052,小妍,,,,小妍_worry,.........,,,,,
1053,小妍,,小妍_worry,,,...,城市公园2,,,"charmove(L,0,-442.5,2.0)",
1054,小妍,,,小妍_worry,,......,,,,"charmove(M,600,-442.5,2.0)",
1055,小妍,,,,小妍_worry,.........,,,,,
1056,hide,,,,,好像找不到了...,,,,,根据第一次选择产生分歧，选（直接创飞）jump（）选（下意识躲闪）jump（）
1057,Me,,,,,时间不早了，得回去了...,,,,,
1058,小妍,,,小妍_worry,,......,,,,,
1059,hide,,,,,,医院下午,,,,
1060,hide,,,,,,,,,"choice(进入第八章|loadScript(第八章,1000))",
1061,,,,,,,,,,,
1062,,,,,,,,,,,
1063,,,,,,,,,,,
1064,,,,,,,,,,,
1065,,,,,,,,,,,
1066,,,,,,,,,,,
1067,,,,,,,,,,,
1068,,,,,,,,,,,
1069,,,,,,,,,,,
1070,,,,,,,,,,,
1071,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,呜喵~,城市公园,,,
,,小妍,,,,,库鲁！,,,,
,,hide,,,,,呜喵！,,,,
,,小妍,,,小妍_smile,,库鲁，猫条！,,,,
,,hide,,,,,呲溜呲溜~,,,,
,,小妍,,,小妍_smile,,嘿嘿~,,,,
,,Me,,,,,时间不早了，得回去了...,医院下午,,,
,,小妍,,,小妍_smile,,......,,,,
,,,,,,,,,,,jump(1070）
,,hide,,,,,每次来城市公园，都感觉心灵都被涤荡了,,,,
