ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,Me,hide,hide,hide,hide,外面在下雨...,医院早,平静小曲,,,下雨粒子特效
1001,Me,,,,,淅沥淅沥......,病房,,,,
1002,Me,,,,,不得不说，真是惬意啊...,,,,,
1003,Me,,,,,工作了一年，好像就没怎么有这样什么也不用干什么也不用想的时间,,,,,
1004,Me,,,,,这次住院是一个短暂的意外,,,,,
1005,Me,,,,,害，如果能一直带薪休假就好了,,,,,
1006,Me,,,,,（有点忘记看手机了）,,,,,
1007,同事,,,,,你身体咋样了,,,,,
1008,同事,,,,,好好休息,,,,,
1009,同事,,,,,？你还活着吗,,,,,
1010,Me,,,,,（我靠，我两天没回复他了）,,,,,
1011,Me,,,,,还活着，好得快，应该出院也不会慢,,,,,
1012,Me,,,,,（放下手机）,,,,,
1013,hide,,,,,嘟~嘟~,,,,,
1014,同事,,,,,你在哪个医院，我有时间来看看你,,,,,
1015,Me,,,,,**人民医院，探望不用带东西,,,,,
1016,Me,,,,,额，你还是带点零食来吧,,,,,
1017,同事,,,,,你真的虚到两天看不了手机吗,,,,,
1018,Me,,,,,私密马赛，我戳了,,,,,
1019,同事,,,,,行吧，我明天下班再来，你保重,,,,,
1020,hide,,,,,......,,,,,
1021,Me,,,,,哦呀，原来还是有人在意我的（馆长笑）,,,,,
1022,Me,,,,,外面还在下雨...,,,,,
1023,Me,,,,,按下按钮......,,,,,
1024,护士,,,,,请问有什么可以帮到您的吗,,,,,
1025,Me,,,,,我有点无聊，能陪我聊会天吗,,,,,
1026,护士,,,,,要聊什么呢~,,,,,
1027,Me,,,,,那聊一会小妍吧,,,,,
1028,护士,,,,,......好的,,,,,
1029,Me,,,,,医院里的小孩不多吧，平常会有人陪她玩吗,,,,,
1030,护士,,,,,小妍的话情况比较特殊，她是长时间住院的小朋友，一般住院的其他小朋友会玩到一起，然后陆续出院，但小妍现在得一直待在这里,,,,,
1031,护士,,,,,这孩子本来也不爱说话，平常就没见到她跟其他小朋友待在一块呢~,,,,,
1032,Me,,,,,你是说她看起来是孤独的,,,,,
1033,护士,,,,,我平常也有在特殊关照小妍，但是这孩子反而更亲我，不愿意交朋友了,,,,,
1034,Me,,,,,她喜欢吃甜食，但是被管制得很严格,,,,,
1035,护士,,,,,是这样的,,,,,
1036,Me,,,,,那为啥又允许她吃我给的糖了,,,,,
1037,护士,,,,,嗯~为什么呢~,,,,,
1038,护士,,,,,可能是因为神的旨意吧~,,,,,
1039,Me,,,,,（那个猎奇神明不会给她催眠了吧...想象不出下达旨意的场景啊）,,,,,
1040,护士,,,,,......,,,,,
1041,Me,,,,,那我不打扰你了，工作加油~,,,,,
1042,Me,,,,,悄悄去看看小妍...,走廊,,,,
1043,Me,,,,,（扣扣扣）,病房,,,,
1044,小妍,,,小妍_normal,,护士姐姐？,,,,,
1045,Me,,,hide,,咦嘻嘻，是哥哥我口牙,,,,,
1046,小妍,,,小妍_doubt,,......,,,,,
1047,Me,,,hide,,Oioioi，你那是什么表情,,,,,
1048,小妍,,,小妍_smile,,原来会有这么不严肃的大人~,,,,,
1049,Me,,,hide,,真是被看扁了啊...,,,,,
1050,小妍,,,小妍_normal,,......,,,,,
1051,Me,,,小妍_angry,,（盯~）,,,,,
1052,小妍,,,,,你盯着我干嘛,,,,,
1053,Me,,,hide,,不知道,,,,,
1054,小妍,,,小妍_doubt,,......,,,,,
1055,小妍,,,小妍_worry,,叔叔你不会是没朋友吧...,,,,,
1056,Me,,,hide,,你怎么知...等等，我才没有到当叔叔的年龄啊！,,,,,
1057,小妍,,,小妍_smile,,真是没办法，我可以当你的朋友哦~,,,,,
1058,Me,,,hide,,（可恶，怎么被小孩耍得团团转）,,,,,
1059,Me,,,,,我才没有不想要你当我朋友呢,,,,,
1060,小妍,,,小妍_smile,,噗~,,,,,
1061,Me,,,hide,,（真是不得了的忘年交...可恶啊，这样下去我不会变得不想出院了吧）,,,,,
,,,,,,,,,,,跳转第四章
