ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,Me,,,,,咚咚咚,走廊,日常,,,
1001,小妍,,,小妍_ignore,,......,病房,,,,
1002,hide,,,,,我抱着这尊名为“库鲁”的大爷进房间,,,,,
1003,小妍,,,小妍_sp,,库鲁...?,,,,,
1004,hide,,,,,呜喵~,,,,,
1005,小妍,,,小妍_laugh,,库鲁~,,,,,
1006,hide,,,,,看着她一把接住这只“会说话的猫”，我的心情也是有点复杂,,,,,
1007,小妍,,,小妍_laugh,,你饿了吗，库鲁~,,,,,
1008,hide,,,,,呜喵~,,,,,
1009,小妍,,,小妍_laugh,,那你怎么来这里呀~,,,,,
1010,hide,,,,,呜喵~,,,,,
1011,小妍,,,小妍_laugh,,哦~原来你想我了~,,,,,
1012,hide,,,,,这只黑猫就这样把头放进她怀里蹭个不停,,,,,
1013,hide,,,,,......,black,,,,
1014,hide,,,,,做好准备了，小鬼...,,,,,
1015,hide,,,,,......,神秘之间2,evil,,,
1016,hide,,,,,怎么突然就被拉进来了！,,,,,
1017,hide,,,,,几团黑雾向我袭来,,,,,
1018,hide,,,,,噫呀，我轰散你们啊！,,,,,
1019,hide,,,,,不好，意识有点恍惚了,,,,,
1020,hide,,,,,哈啊啊啊！,,,,,
1021,hide,,,,,,,,,choice(进入污秽的挑战|jump_pacman(Jump2PacDEVIL)),
1022,hide,,,小妍_angry,,...,black,,,"charfadeout(M,2)",
1023,Me,,,,,混蛋，你在给我看什么！,,,,,
1024,hide,,,小妍_worry,,......,,,,"charfadeout(M,2)",
1025,hide,,,小妍_cry,,.........,,,,"charfadeout(M,2)",
1026,Me,,,,,住手，你们给我住手啊！！！,,,,,
1027,hide,,,,,......,,,,,
1028,hide,,,,,............,,,,,
1029,hide,,,,,........................,,,,,
1030,Me,,,,,像是做梦一样...,家,平静小曲,,,
1031,Me,,,,,我不记得在那之后发生了什么,,,,,
1032,Me,,,,,只有一些毫无逻辑的记忆闪回...,,,,,
1033,Me,,,,,现在我被名为悲伤的情感占据了,,,,,
1034,Me,,,,,就这样结束了吗...？,,,,,
1035,hide,,,,,达成结局二,,,,choice(离开游戏|loadscene(VNMainMenu))&choice(继续游戏|jump(1045)),结局二（坏结局），此后有（离开游戏）或者（继续游戏）UI，继续游戏则推进下一个结局
1036,hide,,,,,,,,,,
1037,hide,,,,,呃啊啊啊，我刚刚是不是恍惚了,病房,,,,
1038,hide,,,小妍_laugh,,黑猫还在她的怀里...,,,,,
1039,Me,,,,,我觉得不能这么放任它下去了,,,,,
1040,Me,,,,,我直接上手抱住黑猫,,,,,
1041,hide,,,,,小鬼，给我松手,,,,,
1042,Me,,,,,如果我就不呢,,,,,
1043,hide,,,,,我马上抱着它逃离医院，感觉手脚仿佛已然痊愈,走廊,,,,
1044,Me,,,,,我现在明白你的神迹了啊，666之神,,,,,
1045,hide,,,,,黑猫的周遭不断异化,,燃,,,
1046,hide,,,,,视野逐渐被领域侵占...,black,,,,
1047,hide,,,,,没用的，放弃挣扎吧,神秘之间2,,,,
1048,Me,,,,,是这样吗？,,,,,
1049,Me,,,,,可能是这样啊！？,,,,,
1050,Me,,,,,领域展开！！！,神秘之间,,,,
1051,Me,,,,,这次要彻底击溃你呀！,,,,,
1052,hide,,,,,,,,,choice(清除污秽|jump_pacman(Jump2PacFINAL)),进入挑战
1053,hide,,,,,不，不可能...!,,,,,
1054,Me,,,,,......,,,,,
1055,Me,,,,,再也不见了，祸源...,,,,,
1056,hide,,,,,......,black,,,,
1057,Me,,,,,现在怀里的黑猫没有了挣扎，而是安静地睡着,走廊,平静小曲,,,
1058,小妍,,,小妍_worry,,你怎么突然抱着库鲁跑掉了...,,,,,
1059,Me,,,,,嗯~我只是突然觉得精力充沛，所以想跑步啊,,,,,
