ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,hide,hide,hide,hide,hide,按下按钮......,病房,平静小曲,,,
1001,护士,,,,,请问有什么可以帮到您的吗,,,,,
1002,Me,,,,,那个，我想出去走走,,,,,
1003,护士,,,,,不行哦~,,,,,
1004,hide,,,护士_angry,,不好，又回想起那个恐怖的笑容了,,,,,
1005,hide,,,,,虽然知道她不能拿我怎么样，但还是先当个乖宝宝吧,,,,,
1006,hide,,,,,"不着调的神明...从那以后过了一天,虽然我只想把这事当成
噩梦，但还是赶快展示你的神迹吧",,,,,
1007,小妍,,,小妍_normal,,......,,,,,
1008,小妍,,,小妍_normal,,哥哥，护士姐姐说我今天可以吃糖了,,,,,
1009,hide,,,,,竟然不是大叔了，好耶,,,,,
1010,Me,,,小妍_normal,,那你已经吃掉了吗,,,,,
1011,小妍,,,小妍_angry,,因为是哥哥给我的糖，所以我想在你面前吃,,,,,
1012,hide,,,小妍_angry,,这孩子是天使啊,,,,,
1013,小妍,,,小妍_smile,,甜...谢谢哥哥~,,,,,
1014,hide,,,小妍_smile,,笑容其实也蛮适合这孩子的,,,,,
1015,小妍,,,小妍_angry,,......,,,,,
1016,Me,,,小妍_angry,,......,,,,,
1017,hide,,,,,这不是吃完糖了吗，盯着我干嘛,,,,,
1018,Me,,,小妍_angry,,怎么了吗,,,,,
1019,小妍,,,小妍_normal,,那里会痛吗,,,,,
1020,hide,,,,,原来她刚刚在盯着我受伤的地方吗,,,,,
1021,Me,,,小妍_doubt,,别担心，我可是结实得很的,,,,,
1022,hide,,,小妍_doubt,,说着，我用没受伤的手做出展示肱二头肌的动作,,,,,
1023,小妍,,,小妍_smile,,那就好~,,,,,
1024,小妍,,,小妍_smile,,你是怎么伤成这样的呀,,,,,
1025,hide,,,小妍_smile,,"“骑车看手机没注意路况摔的”，真这么说我身为大哥哥的人生
就结束了罢",,,,,
1026,Me,,,小妍_doubt,,我骑车被外星人袭击了，为了打跑他们才受的伤,,,,,
1027,小妍,,,小妍_smile,,哼嗯~,,,,,
1028,Me,,,小妍_smile,,可恶啊，难道是不相信有外星人吗,,,,,
1029,小妍,,,小妍_smile,,我相信你~,,,,,
1030,Me,,,小妍_smile,,呃，早知道老实说了,,,,,
1031,小妍,,,小妍_normal,,......,,,,,
1032,Me,,,小妍_normal,,......,,,,,
1033,Me,,,小妍_normal,,你咋还盯着我看啊,,,,,
1034,小妍,,,小妍_angry,,不知道,,,,,
1035,hide,,,,,这么随性的吗,,,,,
1036,Me,,,,,那你随意吧,,,,,
1037,小妍,,,小妍_smile,,嗯~,,,,,
1038,Me,,,小妍_smile,,头怎么又开始晕了,,,,,闭眼特效
1039,hide,,,,,...,black,,,,
1040,hide,,,hide,,......,black,hop,,,
1041,hide,,,神_normal,,突然感觉很不爽......,神秘之间,,,,
1042,hide,,,hide,,为什么这个神明总是在奇怪的情景把人拉进来,,,,,
1043,神,,,神_love,,Oh！Boy，要是等你Sleep了再把你拉进来不是太Boring了吗,,,,,
1044,神,,,神_love,,不说这个了！Boy，欣赏到Me崇高伟大的神迹了吗！,,,,,
1045,hide,,,神_love,,这尊雕像应该能打碎吧,,,,,
1046,神,,,神_normal,,No！Boy刚刚在考虑什么失礼的事！？,,,,,
1047,hide,,,,,切，怎么这么敏锐,,,,,
1048,Me,,,,,嗯...你说的所谓的神迹确实发生了，谢谢你,,,,,
1049,神,,,神_normal,,Yes！尽情崇拜赞美Me吧~,,,,,
1050,Me,,,hide,,所以这次是为什么把我拉进来,,,,,
1051,神,,,神_normal,,Me是为了给Boy一个提醒，这两次的领域虽然是Me展开的，以后就不一定了,,,,,
1052,Me,,,hide,,？？？完全不懂,,,,,
1053,神,,,神_normal,,所以You见不到Me的时候也不要想Me哦~,,,,,
1054,Me,,,神_normal,,给我说重点,,,,,
1055,神,,,神_love,,啊嗯~Boy怎么是这么冷冰冰的Man呢,,,,,
1056,神,,,神_normal,,"所以即使不是Me的挑战，Boy也不得不跨越了，Success了不会有
什么，But！Fail了就很可能有严重后果",,,,,
1057,Me,,,神_normal,,什么严重后果,,,,,
1058,神,,,神_normal,,啊，这个不能告诉Boy呢，总之再接再厉，Fight~,,,,,
1059,Me,,,hide,,等等，你把话说清楚啊！,,,,,
1060,hide,,,hide,,...,black,,,,
1061,hide,,,hide,,.......,,,,,
1062,护士,,,护士_normal,,......,病房,平静小曲,,,
1063,Me,,,护士_normal,,......,,,,,
1064,护士,,,护士_normal,,该换药了先生~,,,,,
1065,Me,,,hide,,额，好,,,,,
1066,护士,,,护士_normal,,......,,,,,
1067,hide,,,,,,医院早,,,,
1068,hide,,,,,,医院晚,,,,
1069,Me,,,,,好像恢复得还挺好的,医院早,,,,下一章
1070,Me,,,,,这应该是好事...,病房,,,,
1071,hide,,,,,,,,,"choice(进入第三章|loadScript(第三章,1000))",
1072,,,,,,,,,,,
1073,,,,,,,,,,,
1074,,,,,,,,,,,
1075,,,,,,,,,,,
1076,,,,,,,,,,,
1077,,,,,,,,,,,
1078,,,,,,,,,,,
1079,,,,,,,,,,,
