ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,Me,hide,hide,hide,hide,总觉得忘记了很重要的东西,病房,日常,,,
1001,Me,,,,,到底是啥呢,,,,,
1002,同事,,,,,“行吧，我明天下班再来，你保重”,病房2,,,,
1003,Me,,,,,我chovy，这家伙居然忘...,,,,,
1004,hide,,,,,余光瞥到旁边的大包小包,,,,,
1005,Me,,,,,呼姆，有张纸条,,,,,
1006,hide,,,,,“我看你睡得挺香的就不叫醒你了，睡脸比我想象的要蠢”,,,,,
1007,hide,,,,,"“零食给你买好了，养好病了赶紧滚回来上班，老板把你的活都丢给
我了”",,,,,
1008,hide,,,,,“之后出来吃饭我得吃到你破产为止才行”,,,,,
1009,hide,,,,,“总之好好保重身体——你的父亲”,,,,,
1010,Me,,,,,囧...,,,,,
1011,Me,,,,,有点想提着四十米长的大刀找他了...,,,,,
1012,Me,,,,,害，蒜鸟蒜鸟，老板把活儿塞他那了，确实会怨气大,,,,,
1013,hide,,,,,现在是早上8点,医院早,,,,
1014,hide,,,,,嘿嘿哈，再去骚扰一下小妍,走廊,,,,
1015,Me,,,,,咚咚咚,病房,,,,
1016,Me,,,,,哈哈哈，我来辣,,,,,
1017,Me,,,,,嗯？怎么没人,,,,,
1018,hide,,,,,......,black,,,,
1019,hide,,,,,............,black,,,,
1020,hide,,,护士_normal,,之后在走廊遇到了护士小姐,走廊,,,,
1021,hide,,,护士_sad,,听她说小妍今天一大早就糖尿病急性发症进手术室了,,,,,
1022,B护士,,,护士_sad,,“想要见到她的话还得等很久呢，先生还是先回自己的房间吧”,,,,,
1023,hide,,,,,虽然话是这么说，但我还是走向了手术室前,手术室,,,,
1024,hide,,,,,小妍现在在这里面...,,,,,
1025,hide,,,,,我的心情到底是怎么样的呢？,,,,,
1026,hide,,,,,至少我不想看到她出事，这份心情是确定的,,,,,
1027,hide,,,,,我在这里待着也无济于事,,,,,
1028,hide,,,,,但是我不能心安地回去，这也是确定的,,,,,
1029,hide,,,,,等等，这个感觉是...,black,,,,
1030,hide,,,,,马萨卡！,black,hide,,,
1031,神,,,神_normal,,哈哈哈哈！Me感觉到You热烈的Heart了,神秘之间,hop,,,
1032,Me,,,,,......果然再怎么看都觉得猎奇,,,,,
1033,神,,,神_normal,,No！Boy你还需要更多的审美积累！,,,,,
1034,Me,,,,,这次也是有挑战对吧,,,,,
1035,神,,,神_normal,,Yes！,,,,,
1036,Me,,,,,废话少说，直接端上来罢,,,,,
1037,神,,,神_love,,哦Boy，You现在很主动嘛,,,,,
1038,Me,,,,,才没有啦！,,,,,
1039,hide,,,,,,,,,choice(进入神明的挑战|jump_pacman(Jump2Pac2)),进入挑战（难度level3）
1040,神,,,神_normal,,Good job！Boy,,胜利,,,
1041,Me,,,,,哼，这种程度绰绰有余啦！,,,,,
1042,神,,,神_love,,Boy，You现在可以向Me索取Bonus了,,,,,
1043,Me,,,,,别用这么奇怪的说法好吗？！,,,,,
1044,Me,,,,,我希望小妍手术顺利,,,,,
1045,神,,,神_normal,,You的愿望Me确实收到了！,,,,,
1046,hide,,,,,赶紧离开这个鬼地方...,,,,,
1047,神,,,神_love,,啊嗯~You这个冷血的Boy，不过Me很喜欢！,,,,,
1048,Me,,,,,如果可以，我希望再也不见...,black,,,,
1049,hide,,,,,......,手术室,平静小曲,,,
1050,hide,,,,,......,医院晚,,,,
1051,Me,,,,,我回来了吗,手术室,,,,
1052,Me,,,,,怎么一下子就变晚上了...,,,,,
1053,小妍,,,小妍_cry,,咳咳...,,,,,
1054,小妍,,,小妍_worry,,......,,,,,
1055,hide,,,,,我看着她笑,,,,,
1056,小妍,,,小妍_smile,,......,,,,,
1057,hide,,,,,我打算说些什么，但好像又没有必要,,,,,
1058,护士,,,护士_normal,,现在可以回去休息了哦小妍~,,,,,
1059,小妍,,,小妍_smile,,嗯...,,,,,
1060,hide,,,小妍_smile,,还是笑容更适合这孩子,,,,,
1061,hide,,,,,,,,,"choice(进入第六章|loadScript(第六章,1000))",
