ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,Me,hide,hide,hide,hide,睡了一天，感觉好累啊,医院晚,平静小曲,,,
1001,Me,,,,,头疼啊...,病房,,,,
1002,Me,,,,,嗯...,,,,,
1003,神,,,神_normal,,Boy，能Hear吗,,,,,
1004,Me,,,,,怎么了？,,,,,
1005,神,,,神_normal,,接下来的路，You得自己走了,,,,,
1006,Me,,,,,何意味？,,,,,
1007,神,,,神_normal,,恐怕Me就要消失了,,,,,
1008,Me,,,,,？！,,,,,
1009,神,,,神_normal,,现在Me已经无意跟You开玩笑了,,,,,
1010,神,,,神_normal,,这幅残破的Body已经要撑不下去了,,,,,
1011,神,,,神_normal,,没有信徒的神明即将要消失...,,,,,
1012,神,,,神_normal,,希望你有面对各种挑战都不会气馁的决意,,,,,
1013,神,,,神_normal,,Me需要Boy相信，任何的绝境都有可以逆转的机会,,,,,
1014,神,,,神_normal,,所以，今后也要再接再厉,,,,,
1015,神,,,神_normal,,——Your God,,,,,
1016,hide,,,神_normal,,......,,,,,
1017,hide,,,,,............,,,,,
1018,Me,,,,,不会吧...,,,,,
1019,Me,,,,,回来啊，臭雕像...,,,,,
1020,Me,,,,,...,,,,,
1021,hide,,,,,......,black,,,,
1022,hide,,,,,自那之后，我度过了风平浪静的两天,医院早,,,,
1023,hide,,,,,经过第二轮换药，手脚的伤势逐渐恢复得差不多了,,,,,
1024,hide,,,,,受伤的肢体快要修复了，心灵却感到一阵空虚...,,,,,
1025,Me,,,,,唉，不管了，先炫炫同事哥给的小零食,,,,,
1026,Me,,,,,嚼嚼~呼姆，好吃,,,,,
1027,BMe,,,小妍_ignore,,......,走廊,,,,
1028,BMe,,,护士_sad,,......,,,,,
1029,hide,,,,,我来到了走廊，走向小妍在的地方,,,,,
1030,Me,,,小妍_normal,,我隔着门口的玻璃往里面看，她正在输液,病房,,,,
1031,Me,,,,,体弱多病应该就是拿来形容她的,,,,,
1032,Me,,,,,......突然好困,,,,,
1033,hide,,,,,......,black,,,,
1034,Me,,,,,...这里是领域吗,神秘之间,,,,
1035,hide,,,,,它在向我抛出挑战...,,,,,
1036,hide,,,,,我准备好了......,,,,,
1037,hide,,,,,...,black,,,,难度level3
1038,hide,,,,,......,black,,,,
1039,Me,,,,,呼，好险...该回去了...,,,,,
1040,hide,,,,,......,black,,,,
1041,hide,,,,,......,走廊,平静小曲,,,
1042,hide,,,,,她已经睡着了...,病房,,,,
1043,BMe,,,,,先回病房吧...,走廊,,,,
1044,hide,,,,,......,病房,,,,
1045,hide,,,,,好无聊，不想睡觉...,,,,,
1046,Me,,,,,刷会手机,病房2,,,,
1047,hide,,,,,...,医院晚,,,,
1048,hide,,,,,......,医院午夜,,,,
1049,,,,,,,,,,,根据第一次选择产生分歧，选（直接创飞）jump（1051）选（下意识躲闪）jump（1057)
1050,hide,,,,,之后的几天我的伤势恢复得都很好，医生说我已经基本可以出院了,医院早,日常,,,
1051,hide,,,,,活动活动手脚，感觉恢复如初了,病房,,,,
1052,hide,,,,,这个意外的住院生活也是时候到头了,,,,,
1053,hide,,,,,我将要继续回到自己的人生轨道，成为持续运作的螺丝,,,,,
1054,hide,,,,,不过这个不平凡的经历值得被我铭记,,,,,
1055,hide,,,,,达成结局一,,,,,结局一(普通结局)
1056,hide,,,,,,,,,choice(返回主界面|loadscene(VNMainMenu)),
1057,,,,,,,,,,,
1058,,,,,,,,,,,
1059,,,,,,,,,,,
1060,,,,,,,,,,,
1061,,,,,,,,,,,
1062,,,,,,,,,,,
1063,,,,,,,,,,,
1064,,,,,,,,,,,
1065,,,,,,,,,,,
1066,,,,,,,,,,,
1067,,,,,,,,,,,
1068,,,,,,,,,,,
1069,,,,,,,,,,,
1070,,,,,,,,,,,
