ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,hide,hide,hide,hide,hide,......,医院下午,平静小曲,,,
1001,Me,,,,,呃啊啊啊...已经下午了吗，怎么回事啊，明明昨天什么都没干怎么会累成这样,病房,,,,
1002,Me,,,,,到底怎么回事啊...,,,,,
1003,Me,,,,,等等，这个感觉是...,black,,,,
1004,hide,,,,,......,black,,,,
1005,Me,,,,,突然感觉很不爽,神秘之间,hop,,,
1006,神,,,神_normal,,哦嚯嚯嚯~,,,,,
1007,Me,,,,,你有事吗,,,,,
1008,神,,,神_love,,都已经是Me and You的关系了，没事就不能看看You吗，Boy,,,,,
1009,Me,,,,,原来被一个奇怪的人说这种话是这种感觉，以后对小妍还是积点口德了...,,,,,
1010,神,,,神_normal,,No！You温热的Mouth怎么能说出这么冷冰冰的Word！,,,,,
1011,Me,,,,,有话快说,,,,,
1012,神,,,神_normal,,You感到疲惫是Common的，因为待在Me的领域里就会被耗费精力,,,,,
1013,Me,,,,,我靠，你不早说，赶紧放我出去！,,,,,
1014,神,,,神_normal,,Wait，Boy在Me的领域里面Stay得越久，就会越熟悉Me的领域啊,,,,,
1015,神,,,神_normal,,也就是说，精力的Cost会减缓啊Boy,,,,,
1016,Me,,,,,谁知道是熟悉得快还是倒下得快啊!,,,,,
1017,神,,,神_love,,You放一百个心啊Boy，Me会负起责任观察You的,,,,,
1018,Me,,,,,呕呕~好恶心...,,,,,
1019,神,,,神_normal,,You对我的崇拜赞美之Heart呢！,,,,,
1020,Me,,,,,那种东西一开始就不存在，也不会存在了啦...,,,,,
1021,Me,,,,,那么熟悉了又有什么好处呢,,,,,
1022,神,,,神_love,,这样Boy and Me可以相处的Time就可以更长了,,,,,
1023,Me,,,,,你是在开玩笑吗,,,,,
1024,神,,,神_love,,No!100%的真正的Heart,,,,,
1025,Me,,,,,那我赶紧run了,,,,,
1026,神,,,神_normal,,No！Boy就没打算刷取Me的好感度吗,,,,,
1027,hide,,,,,不能再理他了，这个猎奇神明也太会得寸进尺了......,,,,,
1028,神,,,神_normal,,咳咳，这次是为了让You带小妍酱去City Park展开的领域,,,,,
1029,hide,,,,,刚刚一直在挑衅我吗,,,,,
1030,Me,,,,,这次怎么不是我来许愿了,,,,,
1031,神,,,神_normal,,嗯？因为这里是Me的领域，能随心所欲的是Me，哈哈哈哈~,,,,,
1032,hide,,,,,,,,,choice(进入神明的挑战|jump_pacman(Jump2Pac3)),
1033,神,,,神_normal,,这种程度对You来说轻而易举吧Boy,,胜利,,,
1034,hide,,,,,难道他真是好神？,,,,,
1035,神,,,神_love,,......,,,,,
1036,Me,,,,,我要走了...,,,,,
1037,hide,,,,,......,black,,,,
1038,Me,,,,,我回来了吗...,病房,日常,,,
1039,护士,,,护士_normal,,......,,,,,
1040,Me,,,,,呜啊啊啊！,,,,,
1041,hide,,,,,吓我一跳,,,,,
1042,Me,,,,,有什么事吗护士小姐？,,,,,
1043,护士,,,护士_normal,,明天需要先生带小妍去城市公园散步呢,,,,,
1044,hide,,,,,让坐轮椅的我去带她？不会发生事故吗,,,,,
1045,神,,,神_normal,,No Problem！Me将会用Power保障一切，嗯哈哈哈！,,hide,,,
1046,Me,,,,,......,,,,,
1047,神,,,神_normal,,"没听清楚吗，那Me再说一遍,,,",,hop,,,
1048,Me,,,,,你怎么还能显形的啊啊啊！,,,,,
1049,神,,,神_normal,,哦嚯嚯嚯~Me是无所不能的！,,,,,
1050,Me,,,,,你就这样暴露在护士小姐面前吗？,,,,,
1051,神,,,,,嗯？其他人的时间早就被Me暂停了啊，现在只有You能看到Me,,,,,
1052,Me,,,,,这座雕像真是...欸，我的惊讶阈值一定被拉高了,,,,,
1053,神,,,神_normal,,"那么Me就先告辞了，一直这样也挺累的，当然You不要误解，这样还是
小Dish一碟，嗯哈哈哈！",,,,,
1054,Me,,,,,......,,日常,,,
1055,护士,,,护士_normal,,先生，您听到了吗,,,,,
1056,Me,,,,,啊，嗯，好的,,,,,
1057,hide,,,,,如果不是那种形象，我可能会很尊敬他，嗯...,,,,,
1058,hide,,,,,不过那种说话方式太恶心了，尊敬他不太可能...,,,,,
1059,hide,,,,,,,,,"choice(进入第七章|loadScript(第七章1,1000))",
