ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,Me,hide,hide,hide,hide,今天是个晴朗的日子口牙~,医院早,平静小曲,,,
1001,Me,,,,,这轮椅应该用得上了罢,病房,,,,
1002,hide,,,,,按下按钮......,,,,,
1003,护士,,,,,请问有什么可以帮到您的吗,,,,,
1004,Me,,,,,太闷了，我想出去溜达溜达,,,,,
1005,Me,,,,,我在手机看到附近有城市公园，我想去那,,,,,
1006,护士,,,,,好的，请稍等~,,,,,
1007,护士,,,护士_normal,,久等了~,,,,,
1008,Me,,,,,冲刺！！冲刺！！,,,,,
1009,护士,,,护士_angry,,可以出发了，先生,,,,,
1010,Me,,,,,额，好，好的...,,,,,
1011,Me,,,,,哦哦！这就是城市公园,城市公园,日常,,,
1012,Me,,,,,哈哈真是养眼的绿色，在医院待着快把我的眼睛白瞎了,,,,,
1013,Me,,,,,真是轻松惬意~,,,,,
1014,护士,,,护士_normal,,......,,,,,
1015,Me,,,,,哦哦！太有艺术感了,城市公园2,,,,
1016,护士,,,护士_normal,,......,,,,,
1017,Me,,,,,看来是好机会...,,,,,
1018,Me,,,,,冲刺！！冲！这就是速度,,,,,
1019,Me,,,,,芜湖！,,,,,
1020,hide,,,,,护士小姐，有的鸟是关不住的,,,,,
1021,护士,,,护士_angry,,......,病房,,,,
1022,Me,,,,,......,,,,,
1023,护士,,,护士_angry,,您要是摔倒了，要我怎么向医院交代呢？,,,,,
1024,Me,,,,,啊，痛痛痛！,,,,,
1025,hide,,,,,我的脸颊正在因为护士小姐而发生剧烈形变,,,,,
1026,护士,,,护士_angry,,您有在认真听吗？,,,,,
1027,Me,,,,,有啦有啦！再扯就变不回去了！,,,,,
1028,Me,,,,,No！！！God Help Me！,,,,,
1029,hide,,,,,那一日没有神迹，众神已死——致我逝去的脸颊,,,,,
1030,hide,,,,,......,医院下午,,,,
1031,hide,,,,,我还活着吗,医院晚,,,,
1032,BMe,,,,,闲来无事，去骚扰一下小妍吧,走廊,,,,
1033,hide,,,,,咚咚咚,病房,,,,
1034,小妍,,,小妍_worry,,护士姐姐？,,,,,
1035,Me,,,,,遗憾，是哥哥我口牙,,,,,
1036,小妍,,,小妍_doubt,,......,,,,,
1037,hide,,,,,可恶啊，居然被小孩用这种表情看着...,,,,,
1038,小妍,,,小妍_doubt,,有什么事吗叔叔...,,,,,
1039,Me,,,,,没事就不能...等等，我才没有到被叫叔叔的年龄了啦！,,,,,
1040,hide,,,,,我威严的形象已经无法挽回了吗...,,,,,
1041,Me,,,小妍_normal,,你平常都干什么,,,,,
1042,小妍,,,小妍_normal,,...画画，看书，和护士姐姐玩,,,,,
1043,Me,,,,,还有呢,,,,,
1044,小妍,,,小妍_angry,,......,,,,,
1045,hide,,,,,哼哼~注意到自己和我一样没朋友了吗,,,,,
1046,小妍,,,小妍_doubt,,你刚刚在想什么？,,,,,
1047,小妍,,,小妍_doubt,,可疑的笑容已经暴露了~,,,,,
1048,hide,,,,,死嘴怎么乱动,,,,,
1049,Me,,,,,那你画过什么,,,,,
1050,小妍,,,,,素材本上的花、瓶子、水果...,,,,,
1051,Me,,,,,那给我看一下行吗,,,,,
1052,小妍,,,小妍_angry,,......,,,,,
1053,小妍,,,小妍_angry,,只能给你看一张,,,,,
1054,hide,,,,,小妍开始在床头柜里翻找,,,,,
1055,hide,,,,,似乎找到了一张满意的作品，她把画纸递了过来,,,,,
1056,hide,,,,,嗯，常见的静物素描。既不是大师的作品，也不是菜鸟的作品,,,,,
1057,hide,,,,,可以看得出她在线条上花了不少功夫,,,,,
1058,hide,,,,,明暗关系概括得比较合理，但是还有改进空间,,,,,
1059,hide,,,,,抓形还算不上熟练，但看着不违和,,,,,
1060,hide,,,,,这是一幅可以看出作者努力的作品,,,,,
1061,Me,,,,,......,,,,,
1062,小妍,,,小妍_angry,,可以还给我了吗,,,,,
1063,Me,,,,,嗯，啊，给你,,,,,
1064,Me,,,,,你的努力是有回报的，继续加油，我的朋友,,,,,
1065,hide,,,,,总会不自觉地对努力的孩子露出笑容，认真的孩子总是讨人喜欢,,,,,
1066,小妍,,,小妍_worry,,",,,,,,",,,,,
1067,小妍,,,小妍_cry,,谢谢你...,,,,,
1068,Me,,,,,不客气,,,,,
1069,hide,,,,,有时候，人就是能够因为一句简单的夸赞而觉得受到认可,,,,,
1070,hide,,,,,正因如此，就连差点就想要放弃的事情也能坚持下去,,,,,
1071,hide,,,,,如果还能继续画下去就好了...,,,,,
1072,hide,,,,,,,,,"choice(进入第五章|loadScript(第五章,1000))",
1073,,,,,,,,,,,
1074,,,,,,,,,,,
1075,,,,,,,,,,,
1076,,,,,,,,,,,
